40         2017-01-12   03:00:00   None                    0.00       0.00
40         2017-01-12   04:00:00   0°0′                    0.00       0.00
40         2017-01-12   05:00:00   0°0′                    0.00       0.00
40         2017-01-12   06:00:00   0°0′                    0.00       0.00
40         2017-01-12   07:00:00   0°0′                    0.00       0.00
40         2017-01-12   08:00:00   0°0′                    0.00       0.00
40         2017-01-12   08:30:00   0°0′                    0.00       0.00
40         2017-01-12   08:30:20   179°60′                27.80       1.11
40         2017-01-12   08:30:40   173°40′                71.78       1.31
40         2017-01-12   08:31:00   87°0′                 106.31       1.33
40         2017-01-12   08:32:00   173°35′                60.60       1.35
40         2017-01-12   08:32:35   87°52′                 24.86       1.24
40         2017-01-12   08:33:05   92°8′                  24.86       1.24
40         2017-01-12   08:34:05   92°2′                  77.98       1.30
40         2017-01-12   08:34:30   100°34′                50.55       1.26
40         2017-01-12   08:34:50   97°47′                 54.72       1.37
40         2017-01-12   08:35:15   101°35′                 9.22       0.92
40         2017-01-12   08:35:55   96°53′                 38.68       1.29
40         2017-01-12   08:36:30   95°51′                  9.08       0.91
40         2017-01-12   08:38:15   95°6′                  52.16       1.30
40         2017-01-12   08:40:25   175°1′                 39.06       1.30
40         2017-01-12   08:40:40   176°45′                39.90       1.33
40         2017-01-12   08:40:45   168°31′                 5.67       1.13
40         2017-01-12   08:41:05   174°28′                81.92       1.37
40         2017-01-12   08:41:20   175°38′                29.74       1.19
40         2017-01-12   08:42:10   174°12′                11.18       1.12
40         2017-01-12   08:42:50   174°45′                49.31       1.23
40         2017-01-12   08:43:20   175°54′                31.58       1.26
40         2017-01-12   08:44:10   178°48′                53.75       1.34
40         2017-01-12   08:45:00   100°35′                88.67       1.48
40         2017-01-12   08:46:05   69°47′               1418.90      14.94
40         2017-01-12   08:47:30   70°24′               1164.91      15.53
40         2017-01-12   08:47:45   69°17′                944.05      15.73
40         2017-01-12   08:47:55   72°26′                673.06      16.83
40         2017-01-12   08:48:15   70°21′                772.26      19.31
40         2017-01-12   08:48:30   51°10′                576.38      14.41
40         2017-01-12   08:49:35   102°27′               637.00      14.16
40         2017-01-12   08:55:30   31°8′                1123.30      24.96
40         2017-01-12   08:55:40   84°38′                832.18      13.87
40         2017-01-12   08:56:50   96°33′               1471.70      18.40
40         2017-01-12   08:57:55   117°49′               729.46      14.59
40         2017-01-12   08:58:20   82°39′               1261.16      12.01
40         2017-01-12   09:00:00   68°55′               1521.25      21.73
40         2017-01-12   09:01:45   101°30′               753.77      13.70
40         2017-01-12   09:04:40   42°28′               1559.64      31.19
40         2017-01-12   09:05:00   14°27′                544.85      15.57
40         2017-01-12   09:05:10   36°3′                1172.62      29.32
40         2017-01-12   09:06:00   161°5′                 31.34       1.25
40         2017-01-12   09:06:30   161°29′                39.09       1.30
40         2017-01-12   09:07:10   72°41′                 93.40       1.33
40         2017-01-12   10:00:00   63°47′                  6.29       1.26
